position,job_type,company_name,location,company_rating,company_reviews,reviews_link,salary_low,salary_high,experience,description,job_posted,url,page
Junior Accountant,,TMC Financing,"Oakland, CA 94612",5.0,2,https://www.indeed.com/cmp/Tmc-Financing/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lot95pibn803&fromjk=03471806201086ce&jt=Junior+Accountant,,,,"We are a small, dedicated group of people who work hard and are super friendly and fun. Our offices are in Uptown Oakland and people bring their dogs to work. The atmosphere is casual and comfortable. Senior leaders regularly seek input/feedback from staff, assign challenging work, and provide recognition for their accomplishments. Feedback is implemented to provide a fun work place that promotes employee interaction and idea sharing. TMC also encourages on-going training, and whenever possible, we promote from within the company.

TMC offers flexible schedules, great benefits, and lots of perks, including catered lunches at least weekly, free snacks and sodas, gym reimbursement, company paid commuter checks, lots of celebratory parties, matching charity donation, paid maternity and parental leave, and a very generous vacation and holiday offering.

If are you interested in using your skills to help small businesses grow, please check out our two awesome opportunities and email your resume (in MS or PDF format) to jobs@tmcfinancing.com*protected email*!
(Uptown Oakland)

TMC Financing has an awesome opportunity for a Junior Accountant who wants to grow their career with a forward-thinking award-winning small business lender. The Junior Accountant is responsible for accounts payable and receivable, payroll, and banking. The Junior Accountant assists with general ledger duties and reporting as needed. Are you a talented data-driven and detailed oriented financial services professional? Do you go above and beyond in your obsession with detail? Most importantly, do you love being around talented people in a fast-paced, collaborative hybrid office environment? If you are open to working both in the office and work-from-home and the descriptions above sound like they fit your background and interest, this may be the opportunity for you.",14 days ago,https://www.indeed.com/rc/clk?jk=03471806201086ce&fccid=de115aaf8dbb353e&vjs=3,1
Staff Accountant,Full-time,Williams Sonoma,"San Francisco, CA",3.5,2905,"https://www.indeed.com/cmp/Williams--sonoma,-Inc./reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lp005308r000&fromjk=4326f83d2c66aefa&jt=Staff+Accountant",,,1-3 years,"We hope you're interested in building a home with us. Even if you don't feel that you meet every requirement listed in this job description, we still encourage you to apply.
About the Accounting Team
The Property Accounting Department manages the Company’s leases and capital assets including land, buildings, furniture, equipment, software, and hardware. We perform accounting, provide guidance, and oversee the budget and forecast process for leases and capital expenditures.
Overview of the Staff Accountant, Property Accounting role
As a staff accountant responsible for a mix of capital, lease, and marketing accounting, you will be in one of the rare accounting roles that work with many different groups within the company. You will be an organized and detailed team player with strong analytical and communication skills.
Responsibilities
Responsible for reporting and analysis of capital balances on a monthly/quarterly basis including account variance analysis
Prepare necessary journal entries for capital activity and reconcile monthly sub-ledger to the general ledger
Process monthly fixed asset additions, retirements, and other adjustments
Create and monitor capital projects and provide monthly reconciliations on capital investments and associated depreciation
Provide support for assigned business units including accounting issue resolution, asset maintenance, policy interpretation, and ad hoc projects
Assist in the analysis of financial data; extract, assemble, interpret, and format data to facilitate economic or business decisions
Assist department with annual and quarterly external audits and participate in the preparation of fixed asset schedules for SEC reporting
Provide support for personal property tax filings to outside preparers
Prepare journal entries and report for catalog marketing expense
Maintain corporate and tax fixed asset books
Provide support for lease accounting under ASC 842
Identify, test, and implement process improvements to gain efficiencies
Develop/update documentation and training materials for existing policies and procedures for all areas of responsibility
Operate a computer and communicate via telephone
Transport materials and equipment and lift, move and carry objects up to 50 pounds on a limited basis
Criteria
Bachelor’s degree in Accounting or Finance
1-3 years accounting/financial analysis experience
Strong systems aptitude, experience in accounting systems (Oracle) a plus
Proficient in Microsoft Excel and Access
Ability to communicate both verbally and through written mediums in a clear and concise manner
Self-starter, eager, problem solver, creative thinker, adaptable, strong analytical skills
Requires a very organized and detailed oriented individual with ability to juggle multiple tasks
Excellent customer service skills and willingness to partner with other team members
The retail industry experiences a plus
Ability to perform work onsite in he San Francisco office pending state, local, and Company return to work guidance during and after the COVID-19 pandemic
We believe in People First
We firmly believe that working in a culture focused on diversity, equity, and inclusion spurs innovation, creates healthy and high-performing teams, and delivers superior customer experiences. Our DEI initiatives prompt associate participation and engagement, aligning with our core vision to reflect the communities where we do business and put people first.
Benefits Just for You
Depending on your position and your location, here are a few highlights of what you might be eligible for:
A generous discount on all Williams-Sonoma, Inc. brands
A 401(k) plan and other investment opportunities
Paid vacations, holidays, and time off to volunteer
Health benefits, dental and vision insurance, including same-sex domestic partner benefits
Tax-free commuter benefits
A wellness program that supports your physical, financial, and emotional health
Your Journey in Continued Learning
In-person and online learning opportunities through WSI University
Cross-brand and cross-function career opportunities
Resources for self-development
Advisor (Mentor) program
Career development workshops and learning programs
Speaker series
WSI will not now or in the future commence an immigration case or ""sponsor"" an individual for this position (for example, H-1B or other employment-based immigration
This role is not eligible for relocation assistance.
Williams-Sonoma, Inc. is an Equal Opportunity Employer. Williams-Sonoma, Inc. will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance, or other applicable state or local laws and ordinances.
Our Company


Founded in 1956, Williams-Sonoma, Inc. is the premier specialty retailer of high-quality products for the kitchen and home in the United States. Our family of brands are Williams Sonoma, Williams Sonoma Home, Pottery Barn, Pottery Barn teen, pottery barn kids, Rejuvenation, Mark & Graham, west elm, or Outward. These brands are among the best known and most respected in the industry. We offer beautifully-designed, stylish and functional products for every area of the home, including the kitchen, living room, bedroom, home office, closet, laundry room and even outdoor spaces. We've seen some big changes since our first brick-and-mortar store opened more than half of a century ago. What hasn't changed is our passion for high-quality products, functional design, outstanding customer service, and enhancing the lives of our customers and the communities where we operate. Today, we're a multi-brand, multi-channel, global enterprise supported by state-of-the-art technology and some of the most talented teams in retailing - and we're always looking for new energy and ideas.",5 days ago,https://www.indeed.com/rc/clk?jk=4326f83d2c66aefa&fccid=cdd85c4d445cce0f&vjs=3,1
"Private Equity Accounting Fund Accountant - San Francisco, CA",Full-time,Gen II Fund Services,"San Francisco, CA",4.0,7,https://www.indeed.com/cmp/Gen-II-Fund-Services/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lp1qc39qh000&fromjk=914a7844876fcea4&jt=Private+Equity+Accounting+Fund+Accountant+-+San+Francisco%2C+CA,,,,"Fund Accountant will be responsible for providing accounting services including preparation and processing of transactions and financial statements with supporting schedules and work papers.Primary Responsibilities Will Include: Cash processing and bank reconciliationsRecord journal entriesMaintain general ledgerPrepare and set up workpapers and checklistsPrepare financial statements and footnotesPrepare partner capital account informationInvestor capital call/distribution processingLiaise with the client’s independent auditorsJob Requirements, Skills, Education, and Experience: Bachelor’s degree in Accounting requiredMinimum GPA of 3.3All applicants applying to Gen II Fund Services, LLC must be legally authorized to work in the United States.Job Type: Full-timeBenefits:401(k)Health insurancePaid time offSchedule:Monday to Friday",10 days ago,https://www.indeed.com/company/Gen-II-Fund-Services/jobs/Private-Equity-Accounting-Fund-Accountant-914a7844876fcea4?fccid=1370bdc6fa269aae&vjs=3,1
Principal Account Clerk - Office of the Controller (1634),Full-time,City and County of San Francisco,"San Francisco, CA 94102",4.0,238,https://www.indeed.com/cmp/City-and-County-of-SAN-Francisco/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lp4q0qekp800&fromjk=107f02a7434a2957&jt=Principal+Account+Clerk+-+Office+of+the+Controller+%281634%29,,,,"Company Description
This 1634 Principal Account Clerk works in the Controller’s Accounting Operations and Suppliers Division (AOSD), with significant assignments in Asset Management. The 1634 may also support Citywide accounting operations and financial analysis as part of the Controller’s Financial & Accounting Support Team (FAST).
AOSD’s primary mission is to control the financial activities of the City. The division certifies contracts, pays vendors, approves personnel requisitions and reviews, monitors, controls, and projects departmental expenditures on a continuous basis to assess overall fiscal condition. The division assists departments to achieve fiscal compliance, accuracy, timeliness and meaningfulness for the resulting financial information. The division is also responsible for the producing the City's annual audited financial statements including the Comprehensive Annual Financial Report (CAFR), the Single Audit Report, and other reports required by federal, state, and local regulations, as well as the Countywide Cost Allocation Plan (COWCAP). Other functions include developing and maintaining citywide financial systems, system policies, procedures, training, security, and documentation.
AOSD is responsible for monitoring, tracking, approving and establishing guidelines, policies and procedures for central accounting across all City departments, including all City funds and grants. The City’s online accounting system, PeopleSoft, is used extensively in this work. The City’s data warehouse and analytical tool, Oracle Business Intelligence (BI), and Excel are also heavily used. The Asset Management team of AOSD manages the City’s fixed assets recording and reporting.

Job Description
Under general supervision, the 1634 performs difficult bookkeeping and financial record keeping operations within complex accounting systems and may direct the work of other clerical staff. The person selected for this position will be required to interpret, enforce and carry out existing policies and procedures relative to financial record keeping activities; make regular contacts with other departmental personnel and the general public in connection with bookkeeping and financial operations; prepare and maintain a variety of complex financial and bookkeeping records and reports; post, adjust, and balance entries to ledgers; verify the correctness of accounting documents; respond to inquiries and provide financial information; organize and file source documents; perform operations involving automated accounting systems and spreadsheet programs and perform related duties as required.
Essential duties of the job include but are not limited to:
Process financial, accounting, budget, general ledger, payables, purchasing, encumbrance and other transactions using PeopleSoft
Ensure accurate and timely recording of financial data in compliance with Controller’s policies and procedures
Perform financial data cleanup
Generate reports and queries as needed to support tasks using Oracle Business Intelligence, PeopleSoft Query, and PeopleSoft nVision
Prepare GASB 84 and 87 related spreadsheets and audit binders
Assist in year-end closing
Assist with preparation of reports and financial audits, preparation of the Comprehensive Annual Financial Report (CAFR), and reporting to other government agencies, as needed.
Provide feedback and clerical support on Policies and Procedures in use or proposed by the Controller’s Office or other department
Act as a liaison between City departments and AOSD
Review and manage 10-Key to foot and cross foot financial statements
Compile CAFR draft binder for the Controller, senior management, and external auditors
Research information in PeopleSoft and the City’s legacy financial system
Reconcile various accounting and financial reports between different sources and systems, including between the legacy accounting system and current PeopleSoft system
Respond verbally and in writing to phone, email and in-person questions and requests for information from the public and staff from other departments
Sort and file various accounting, financial and system documents
Train Controller’s and departmental staff as assigned
Create reports and logs using Excel, Word, PowerPoint, or other software.
Direct work of other clerical staff
Assumes FAST assignments as needed
Other duties as required

Qualifications
1. Two (2) years (equivalent to 4,000 hours) of verifiable experience in a position supervising and directing accounting and/or financial transaction functions. OR

2. Fours (4) years (equivalent to 8,000 hours) of verifiable experience processing financial and accounting matters (e.g., cost records, deposits, expenditures, allocations), bookkeeping, and/or financial record keeping. Such experience typically includes verifying correctness of financial documents, maintaining expenditure records and reconciling subsidiary accounts.

Substitution of Experience:

30 semester units / 45 quarter units of coursework from an accredited college or university with a minimum of 12 semester units (or equivalent quarter units) in accounting may be substituted for up to one (1) year of the required experience as described in #1 or #2.
Applicants must meet the minimum qualification requirement by the final filing date unless otherwise noted.
Additional Information

All your information will be kept confidential according to EEO guidelines.
CONDITION OF EMPLOYMENT: All City and County of San Francisco employees are required to be vaccinated against COVID-19 as a condition of employment. For details on how it is applicable to your employment, please click here.
The City and County of San Francisco encourages women, minorities and persons with disabilities to apply. Applicants will be considered regardless of their sex, race, age, religion, color, national origin, ancestry, physical disability, mental disability, medical condition (associated with cancer, a history of cancer, or genetic characteristics), HIV/AIDS status, genetic information, marital status, sexual orientation, gender, gender identity, gender expression, military and veteran status, or other protected category under the law.",5 days ago,https://www.indeed.com/rc/clk?jk=107f02a7434a2957&fccid=a411072d5a46f13f&vjs=3,1
Lead Real Estate Accountant,Full-time,CBRE,"San Francisco, CA 94105",3.7,3685,https://www.indeed.com/cmp/Cbre/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lp7koo1eo800&fromjk=1a0e6357ec22849c&jt=Lead+Real+Estate+Accountant,,,four years,"Posted
01-Nov-2021
Service line
Advisory Segment
Role type
Full-time
Areas of Interest
Property Management
Location(s)
San Francisco - California - United States of America
JOB SUMMARY
Reviews and/or creates real estate accounting transactions and the production of the various resulting financial reports and statements. Understands client requirements and ensures consistent, accurate and timely reporting.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Reviews assigned work product, including financial packages, to ensure complete, accurate and timely delivery to internal and external customers.
Adheres to Client Accounting Policies and Procedures (CAPP) to ensure internal and external reporting requirements are consistently met.
Reviews and creates complex property budgets and forecasting for assigned property portfolios. Participates in new property and client transitions, and client audit requests.
Communicates requests for additional services from clients and the field to senior management and understands the scope of accounting services for the properties in portfolio.
May prepare and oversee all aspects of advanced level financial statement packages, including creating and posting journal entries, ensuring cash receipts and expense payables are recorded for the period, preparing and submitting funding requests. preparing and submitting owner's distributions, and other transactions as applicable in order to ensure that all information delivered to the client is complete and encompasses all transactions for the applicable reporting period.
May oversee the completion of projects including independent preparation and review of CAM (Common Area Maintenance) reconciliations, purchase/sale prorations, lease abstract analysis, property software setups, opening/closing entry generations, and maintenance of Policy & Procedure manuals.
Resolves and responds to escalated issues and requests from Account Management Team, Real Estate Management Team, and Clients, including answering questions from other departments, locations and divisions regarding various accounting issues and reports, including profit and loss reports. Researches open accounting issues and recognizes potential issues and/or conflicts so corrective action can intercept and minimize issues.
Partners with the field and Account Management teams to ensure requirements and terms of the client's Management Agreement are adhered to based upon working knowledge of these agreements.
Mentors and provides training and guidance to team members on financial reporting functions and duties.
Leads by example and serves as a role model for team members.
Performs other duties as assigned.
SUPERVISORY RESPONSIBILITIES
No formal supervisory responsibilities in this position. Provides informal assistance such as technical guidance, and/or training to coworkers. May coordinate and assign tasks to co-workers within a work unit and/or project.
QUALIFICATIONS
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
EDUCATION and EXPERIENCE
Degree from a four-year college or university program with an emphasis in accounting, finance or related field required. A minimum of four years prior accounting, finance or related experience required. Experience with real estate accounting software preferred.
CERTIFICATES and/or LICENSES
None
COMMUNICATION SKILLS
Excellent written and verbal communication skills. Strong organizational and analytical skills. Ability to provide efficient, timely, reliable and courteous service to customers. Ability to effectively present information.
Ability to respond effectively to sensitive issues.
FINANCIAL KNOWLEDGE
Requires advanced knowledge of Generally Accepted Accounting Principles (GAAP) and Financial Accounting Standards Board (FASB) regulations including an advanced knowledge of financial terms and principles to include accounting methods (cash, accrual, and full GAAP). Ability to calculate intermediate figures such as percentages, discounts, and/or commissions. Conducts advanced financial analysis.
REASONING ABILITY
Ability to comprehend, analyze, and interpret complex documents. Ability to solve problems involving several options in situations. Requires advanced analytical and quantitative skills.
OTHER SKILLS and/or ABILITIES
Advanced knowledge of computer software and hardware (i.e. Microsoft Office Suite Products). Ability to work in multiple accounting software applications.
SCOPE OF RESPONSIBILITY
Decisions made with thorough understanding of procedures, company policies, and business practices to achieve general results and deadlines. Responsible for setting work unit and/or project deadlines. Errors in judgment may cause short-term impact to department.
SAFETY
Responsible for personal safety and the safety of those who are affected by your work. This includes but is not limited to:
1. Complete all required and assigned HSE training at a satisfactory level,
2. Follow all activity policies and procedures, including all HSE-related requirements at all times,
3. Participate in all HSE-related programs & activities as required, including incident investigations, interviews, auditing and assessment, etc.
4. Report any conditions which you feel could result in an accident or injury and / or stop work if required.
NOTE: An additional requirement for this role is the ability to comply with COVID-19 health and safety protocols, including COVID-19 vaccination proof and/or rigorous testing.",6 days ago,https://www.indeed.com/rc/clk?jk=1a0e6357ec22849c&fccid=c9b9e477b3c84b4d&vjs=3,1
Junior Grants Accountant,Full-time,LifeLong Medical Care,"Berkeley, CA 94710",3.4,62,https://www.indeed.com/cmp/Lifelong-Medical-Care/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lp9qd39qh000&fromjk=5e26447fc79da8e6&jt=Junior+Grants+Accountant,,,,"Overview:

Supporting Community Healthcare is a rewarding role, come join a wonderful organization! LifeLong Medical Care is looking for a Grants Accountant to join our Finance department in West Berkeley. Under the general supervision of the Grants Manager the Junior Grants Accountant's primary responsibility or various accounting and administrative work, supporting the Administration, Budget & Accounting operations.
This is a full time, benefit eligible position.
LifeLong Medical Care is a large, multi-site, Federally Qualified Health Center (FQHC) with a rich history of providing innovative healthcare and social services to a wonderfully diverse patient community. Our patient-centered health home is a dynamic place to work, practice, and grow. We have over 15 primary care health centers and deliver integrated services including psychosocial, referrals, chronic disease management, dental, health education, home visits, and much, much more. LifeLong Medical Care is an equal opportunity employer. We strongly encourage applications from women, people of color, and bilingual and bicultural individuals and members of the lesbian, gay, bisexual, and transgender communities. Applicants shall not be discriminated against because of race, religion, sex, national origin, ethnicity, age, disability, political affiliation, sexual orientation, gender identity, color, marital status, or medical condition.
Benefits
We offer excellent benefits including: medical, dental, vision (including dependent and domestic partner coverage), generous leave benefits including nine paid holidays, Flexible Spending Accounts, 403(b) retirement savings plan.
COVID-19 Vaccine Policy
In accordance with LifeLong Medical Care's commitment to provide and maintain a workplace that is free of known hazards, we have adopted a Mandatory COVID-19 Vaccine Policy to safeguard the health of our employees and their families; our patients and visitors; and the community at large from infectious diseases, that vaccinations may reduce. This policy will comply with all applicable laws and is based on guidance from the Centers for Disease Control and Order of the California State Public Health Officer. Unless a reasonable medical or religious accommodation is approved, all employees must receive COVID-19 vaccinations.
Responsibilities:
Perform monthly and periodic invoicing of our County, City and other grants timely and accurately.
Work closely with grant managers for budgeting and reporting purposes.
Prepare monthly/quarterly/yearly reports invoices/ financial reports
Perform month-end reconciliations.
Work with payroll department on positions paid by grants or restricted funds.
Monitor and manage cash flows and expenses.
Posting and tracking of Grant payments, and follow-up on unpaid outstanding receivables
Communicating with project managers on the balance and status of funds monthly or quarterly depending on the need and grant requirement
Qualifications:
Knowledge of preparing behavioral health grant cost reports
Excellent organizational skills necessary for managing competing priorities and deadlines.
Ability to analyze complex fiscal and administrative issues and apply the appropriate measures for resolution.
Flexibility and positive attitude
Excellent communication skills and the ability to work with multiple stakeholders.
High proficiency in Microsoft Excel and Word programs
Non-Profit experience highly desired
Education and Experience
Associate degree preferred but may substitute degree with relevant work experience.
At least one year of experience directly related to the duties and responsibilities specified preferred. Knowledge of accounting system Financial Edge is preferred but not required",12 days ago,https://www.indeed.com/rc/clk?jk=5e26447fc79da8e6&fccid=97464f5e81e0c14b&vjs=3,1
Audit & Assurance Senior Assistant,Full-time,Deloitte,"San Francisco, CA",4.0,10287,https://www.indeed.com/cmp/Deloitte/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lpd0focji800&fromjk=41e3c49ca37ce36b&jt=Audit+%26+Assurance+Senior+Assistant,,,,"Do you have the forward-looking view to match ours? We are investing heavily in new innovations in data analytics and artificial intelligence using cutting-edge applications to differentiate our approach to audit. We're regarded as leaders in Audit and our approach is designed to provide the flexibility to serve the unique circumstances and complexities of our clients. Join us as an Audit & Assurance Senior Assistant and you'll help us to strengthen our reputation for quality and innovation.

Work you'll do

As an Audit & Assurance Senior Assistant, you will work closely with our clients to understand their business, the risks they face and their internal controls. You'll use our cutting-edge audit tools and technology. Other responsibilities will include:
Audit areas of the client financial statements, including transactions and internal controls
Perform analysis on client data and document testing procedures performed
Effectively work in a virtual environment

The team

Our team culture is collaborative and encourages team members to take initiative and seek on-the-job learning opportunities. Our audit professionals are committed to excellence and to enhancing the trust of the investing public and capital markets. Quality is our top priority, and by focusing on innovation, we continue to raise the bar on quality and deliver greater value to our clients. Learn more about Deloitte Audit.


Qualifications

Required
At least 1 year of experience in public accounting
Bachelor's degree in accounting or related field
Must meet minimum requirements for CPA eligibility before beginning full-time employment

Preferred
Advanced degree in accounting or related field preferred
Experience with a regional or Big 4 accounting firm preferred
Understanding of broad business & technical (GAAP) knowledge
Effective interpersonal and communication skills
Potential for extensive travel
Experience working independently on multiple assignments or engagements, even in a virtual environment

How you'll grow

At Deloitte, we believe in professional development and helping our people grow. We offer learning opportunities to help you sharpen your skills in addition to hands-on experience in the global, fast-changing business world. We support the development of leadership and technical skills through leading-edge learning development solutions such as our Welcome to Deloitte on-boarding program, career milestone learning programs, and Audit technical training. Deloitte University, our 107-acre, $300M center, demonstrates our commitment to development by delivering an interactive, immersive learning environment that offers a physical campus in a virtual world. Welcoming more than 50,000 learners annually from 81 countries, we're considered one of the leading private companies for growing leadership skills. Explore Deloitte University, The Leadership Center.",1 day ago,https://www.indeed.com/rc/clk?jk=41e3c49ca37ce36b&fccid=9e215d88a6b33622&vjs=3,1
"Analyst, Transfer Pricing",Full-time,Kroll,"San Francisco, CA 94103",3.5,175,https://www.indeed.com/cmp/Kroll-Inc./reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lpgcsqekp800&fromjk=11231b972d60756b&jt=Analyst%2C+Transfer+Pricing,,,,"To be considered for a position at Kroll, you must formally apply via careers.kroll.com

In a world of disruption and increasingly complex business challenges, our professionals bring truth into focus with the Kroll Lens. Our sharp analytical skills, paired with the latest technology, allow us to give our clients clarity—not just answers—in all areas of business. We embrace diverse backgrounds and global perspectives, and we cultivate diversity by respecting, including, and valuing one another. As part of One team, One Kroll, you’ll contribute to a supportive and collaborative work environment that empowers you to excel.
Kroll’s Transfer Pricing practice applies microeconomic, financial and quantitative analysis to help multinational companies’ price products, intangible property and financial instruments for tax purposes. Our transfer pricing practice provides consulting and expert advice to many of the world’s largest multinational companies. Our Analysts receive world-class training, outstanding benefits, strong career progression, competitive salaries and relocation assistance when applicable.

At Kroll, your work will help deliver clarity to our clients’ most complex governance, risk, and transparency challenges. Apply now to join One team, One Kroll.

RESPONSIBILITIES:
Transfer Pricing Analysts work on a variety of assignments, including performing financial analysis, industry analysis and microeconomic research to assist companies in pricing their intercompany transactions. Our analysts gain experience in many facets of global consulting, including:
Performing financial and statistical analyses for clients that include Fortune 500 companies, top ranked law firms, non-profits, and government organizations
Designing and applying complex financial models to analyze and price intercompany transactions for products, services, intellectual property, and financial instruments
Conducting interviews with our clients’ executive leadership teams to gather focused insight into their company’s global operations
Presenting results to both internal and external audiences
Undertaking in-depth company, industry, and market research
Writing client reports and preparing industry articles
REQUIREMENTS:
Currently pursuing a Bachelor’s or Master’s degree in Economics, Finance, Business Administration or Management (with a concentration in Economics or Finance) or other degree (with Junior and/or Senior level courses in Economics or Finance) from an accredited university or college
Must be available to start between January 2022 and September 2022
Major GPA of 3.0
Strong Microsoft Word and Excel skills
Strong analytical, critical thinking and problem-solving skills, as well as strong verbal and written communication skills
Attention to detail, ability to manage time and work flow & work on multiple assignments
Demonstrated ability to focus on quality work
Applicants must be currently authorized to work in the United States without the need for visa sponsorship now or in the future
To be considered for a position at Kroll, you must formally apply via www.kroll.com
Kroll is committed to creating an inclusive work environment. We are proud to be an equal opportunity employer and will consider all qualified applicants regardless of gender, gender identity, race, religion, color, nationality, ethnic origin, sexual orientation, marital status, veteran status, age or disability.",11 days ago,https://www.indeed.com/rc/clk?jk=11231b972d60756b&fccid=2991547aff717aed&vjs=3,1
Transfer Pricing Tax Associate,Full-time,RSM US LLP,"San Francisco, CA 94104",3.6,642,https://www.indeed.com/cmp/Rsm-9/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lpifvochl800&fromjk=1135cf7338b20353&jt=Transfer+Pricing+Tax+Associate,,,,"At RSM, associates work with large and small companies in various industries. They develop strong working relationships with clients built on understanding their businesses and challenges. Associates work on multiple team engagements each year, including several pieces of any particular assignment - not just one part. Working in a mutually respectful team environment helps our associates perform at their best and integrate their career with their personal life.

Transfer pricing focuses on how different entities in a multinational business interact to generate profits together. Transfer pricing analysts combine qualitative/verbal factual analysis with numeric/quantitative analysis to understand the market and internal forces that allow multinational businesses to create value, and how the profits from that value creation are spread across different tax jurisdictions. Transfer pricing requires curiosity about business, a focus on precision, but also a comfort with ambiguity and qualitative reasoning. An interest in international matters is an advantage.
Transfer pricing analysis is an important input for assisting client’s with their taxes, and the transfer pricing team is a component of RSM’s international tax practice, however no tax or accounting skills are assumed.
Examples of the candidate’s responsibilities include:
Working on client engagements from start to finish, which includes planning, executing, and completing transfer pricing projects

Working with other associates and managers on transfer pricing projects, conducting detailed economic, financial, and accounting analyses demonstrating an understanding of transfer pricing concepts and method application to cases

Evaluating intercompany transfers of tangible goods, intangible property, services, and loans and conducting financial and economic analyses of multinational and domestic corporations, industry and market research, economic valuations, comparative financial benchmarking, and report documentation

Writing detailed reports and memoranda outlining client facts and analyzing market and economic factors. Strong writing skills are a must.

Preparing and analyzing financial and economic data for tax and regulatory compliance through the use of MS Word, Excel, and various statistical sampling packages

Reviewing and analyzing GAAP financial statements

Interacting with client personnel to gather information
Basic Qualifications:
Bachelor's degree in Economics, Business/Management, or Finance

Knowledge in several of the following areas: financial statement analysis, valuations, quantitative analysis, industry analysis, and statistical sampling and econometrics

Strong analytical skills

Strong written and verbal communication skills, solid research and computer skills including proficiency in Microsoft Office Suite, specifically MS excel, and the ability to work will both autonomously and collaboratively
Preferred Qualifications:
Strong attention to detail

Foreign language skills a plus

Ability to work additional hours as needed and travel to various client sites

Ability to prioritize tasks and work on multiple assignments
You want your next step to be the right one. You've worked hard to get where you are today. And now you're ready to use your unique skills, talents and personality to achieve great things. RSM is a place where you are valued as an individual, mentored as a future leader, and recognized for your accomplishments and potential. Working directly with clients, key decision makers and business owners across various industries and geographies, you'll move quickly along the learning curve and our clients will benefit from your fresh perspective.

Experience RSM US. Experience the power of being understood.

RSM is an equal opportunity/affirmative action employer. Minorities/Females/Disabled/Veterans.",9 days ago,https://www.indeed.com/rc/clk?jk=1135cf7338b20353&fccid=198b7374e1f8a26f&vjs=3,1
Audit Associate II,Full-time,Grant Thornton,"San Francisco, CA 94111",3.7,1462,https://www.indeed.com/cmp/Grant-Thornton/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lplj9qekp800&fromjk=4e34c784dac5c58f&jt=Audit+Associate+II,,,,"POSITION SUMMARY
Audit Associate
The Audit Associate will apply your knowledge of GAAP to assist in all stages of an audit using our Grant Thorntion Audit technology to complete assigned tasks. You may train and supervise others at a lower level including review of their work.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Audit transaction cycles, including cash, purchasing, investments, capital expenditures, and other income and expenses.
Gain understanding of client operations, processes, and business objectives and utilize that knowledge on engagements
Research and analyze financial statements and audit and tax related issues utilizing electronic databases, and employ audit software to review and compile financial information to resolve client issues discovered during the audit.
Develop and maintain a good working relationship with clients to enhance customer satisfaction and work with client management and staff at all levels to perform audit services.
Participate in recruiting efforts as needed.
Attend professional development and training sessions on a regular basis. - Ability to work additional hours as needed and travel to various client sites.
Other duties as assigned.
QUALIFICATIONS
Bachelor’s degree in accounting, economics, finance, mathematics, or related discipline.
Minimum of 1 year of public accounting experience in a medium to large firm.
Excellent analytical, technical, and auditing skills including proficiency in US GAAP, GAAS, and PCAOB rules and standards.
Excellent verbal and written communication skills.
Ability to manage multiple engagements and competing priorities in a rapidly growing, fast-paced, interactive, results-based team environment.
Ability to work additional hours as needed.
Ability to travel on short notice.",9 days ago,https://www.indeed.com/rc/clk?jk=4e34c784dac5c58f&fccid=7ac82fceed64aa81&vjs=3,1
